x, y
59.93087557603687, 9.927667269439421
59.30875576036867, 10.072332730560579
58.7557603686636, 10.03616636528029
58.133640552995395, 10.289330922242314
57.71889400921659, 10.325497287522603
56.85483870967742, 10.47016274864376
56.37096774193549, 10.831826401446655
55.81797235023042, 10.831826401446655
55.26497695852535, 10.940325497287523
54.53917050691244, 11.12115732368897
53.95161290322581, 11.338155515370705
53.433179723502306, 11.55515370705244
52.7073732718894, 11.66365280289331
52.085253456221196, 11.880650994575046
51.49769585253456, 12.206148282097649
50.944700460829495, 12.278481012658228
50.322580645161295, 12.459312839059674
49.804147465437794, 12.67631103074141
49.21658986175115, 12.929475587703436
48.525345622119815, 13.21880650994575
48.076036866359445, 13.363471971066907
47.384792626728114, 13.688969258589513
46.831797235023046, 13.942133815551538
46.175115207373274, 14.050632911392405
45.55299539170507, 14.37613019891501
45, 14.737793851717903
44.41244239631337, 15.171790235081374
43.8594470046083, 15.49728752260398
43.20276497695853, 15.822784810126581
42.58064516129032, 16.148282097649187
41.99308755760369, 16.54611211573237
41.37096774193549, 16.871609403254972
40.852534562211986, 17.124773960217
40.264976958525345, 17.55877034358047
39.53917050691244, 17.99276672694394
38.95161290322581, 18.354430379746837
38.26036866359447, 18.969258589511753
37.84562211981567, 19.439421338155515
37.154377880184335, 19.8372513562387
36.53225806451613, 20.379746835443036
35.91013824884793, 20.849909584086802
35.28801843317972, 21.32007233273056
34.90783410138249, 21.717902350813745
34.11290322580645, 22.224231464737795
33.525345622119815, 23.05605786618445
32.97235023041475, 23.707052441229656
32.384792626728114, 24.321880650994576
31.797235023041473, 24.900542495479204
31.20967741935484, 25.840867992766725
30.518433179723502, 26.70886075949367
