x, y
-69.52789699570815, 0.0000029427271762092816
-67.85407725321889, 0.000003014162529877392
-65.15021459227468, 0.000003162277660168379
-63.09012875536481, 0.000003317671127842855
-60.772532188841204, 0.000003317671127842855
-59.35622317596567, 0.0000033982083289425593
-57.2961373390558, 0.0000035651953657755465
-54.592274678111586, 0.0000037403881003677887
-52.66094420600859, 0.000003924189758484536
-50.858369098712444, 0.0000040194503336151276
-47.63948497854077, 0.000004216965034285822
-44.93562231759657, 0.000004641588833612782
-42.36051502145923, 0.000005490138914342137
-40.30042918454936, 0.000006493816315762113
-37.85407725321889, 0.000007867438076599394
-35.407725321888414, 0.000010242752213815929
-32.96137339055794, 0.000015034304197873333
-30.772532188841204, 0.000020048566865527122
-28.32618025751073, 0.000029427271762092818
-26.652360515021464, 0.00004117023380295944
-24.592274678111593, 0.00005490138914342137
-23.047210300429185, 0.00007680980572767759
-21.75965665236052, 0.0001024275221381592
-20.343347639484982, 0.00013658929601461864
-18.66952789699571, 0.0002004856686552712
-17.510729613733908, 0.00028729848333536626
-16.48068669527897, 0.00037403881003677847
-15.064377682403439, 0.0004869675251658631
-13.776824034334766, 0.0007147705767941853
-11.97424892703863, 0.0010491397291363092
-10.42918454935623, 0.0014677992676220691
-9.012875536480692, 0.002053525026457146
-7.596566523605155, 0.0028048953771218268
-5.922746781115883, 0.004319332794051543
-3.090128755364809, 0.008454410545946919
-0.6437768240343402, 0.01539926526059492
1.6738197424892647, 0.022603030271419192
3.9914163090128696, 0.03651741272548377
6.05150214592274, 0.05232991146814947
8.369098712446345, 0.0768098057276775
10.815450643776813, 0.10491397291363092
13.519313304721024, 0.15034304197873333
16.866952789699567, 0.21033748010870307
19.69957081545064, 0.27384196342643613
22.017167381974247, 0.3398208328942559
24.463519313304715, 0.41170233802959444
27.167381974248926, 0.47542644301110526
30.38626609442059, 0.5759922853513619
33.47639484978541, 0.6651455144438625
35.27896995708154, 0.7498942093324559
37.72532188841201, 0.8058421877614819
39.52789699570815, 0.8659643233600653
41.84549356223175, 0.9085175756516861
44.4206008583691, 1
46.094420600858356, 1.1547819846894583
48.92703862660943, 1.1274137659327845
50.47210300429184, 1.2710617996147433
52.14592274678111, 1.3019171061900772
53.81974248927038, 1.333521432163324
56.52360515021459, 1.4677992676220675
