x, y
-68.24034334763948, 0.000005108969774506924
-66.56652360515021, 0.00000562341325190349
-64.89270386266094, 0.000005759922853513632
-62.832618025751074, 0.0000063399135117248405
-60.257510729613735, 0.000006493816315762113
-58.197424892703864, 0.0000071477057679418604
-56.26609442060086, 0.000007498942093324558
-54.46351931330472, 0.000008869857990181922
-52.01716738197425, 0.000009763000989628067
-49.442060085836914, 0.00001049139729136309
-47.51072961373391, 0.000012710617996147458
-45.708154506437765, 0.000016155980984398728
-44.0343347639485, 0.000019109529749704406
-42.61802575107296, 0.000021544346900318823
-41.3304721030043, 0.000029427271762092818
-39.91416309012875, 0.000038311868495572856
-37.59656652360515, 0.00005108969774506924
-35.407725321888414, 0.00006812920690579608
-33.09012875536481, 0.0001024275221381592
-31.416309012875537, 0.0001694988151390346
-28.841201716738198, 0.00025482967479793463
-26.909871244635198, 0.00037403881003677847
-24.97854077253219, 0.0005759922853513625
-22.78969957081545, 0.0008869857990181914
-19.957081545064383, 0.001577308583390972
-17.896995708154506, 0.0024879023672388346
-15.708154506437772, 0.004531583637600818
-12.746781115879834, 0.00768098057276775
-11.330472103004297, 0.011006941712522093
-8.755364806866957, 0.02053525026457146
-6.309012875536482, 0.03239042650439029
-3.733905579399142, 0.05232991146814947
-2.188841201716741, 0.08254041852680181
1.9313304721029994, 0.15034304197873333
5.150214592274679, 0.29427271762092816
8.369098712446345, 0.4424185553847914
10.557939914163086, 0.6189658188912597
13.39055793991416, 0.8058421877614819
16.351931330472098, 1.0242752213815909
19.570815450643778, 1.5399265260594919
22.66094420600858, 1.8214475363959424
25.87982832618026, 2.315172383515272
29.22746781115879, 2.8729848333536627
33.60515021459227, 3.651741272548377
36.30901287553648, 4.117023380295945
39.39914163090128, 4.641588833612772
42.23175965665236, 5.232991146814947
45.5793991416309, 5.490138914342137
48.6695278969957, 6.189658188912597
52.01716738197425, 6.812920690579608
55.10729613733905, 7.321217907829124
57.167381974248926, 7.6809805727677425
